sample_id,dim,field_path,mask_path,readout_path,metadata_path,geometry_id,source_geometry_type,split_original,z_top,z_bottom,thickness,E_bg,E_lesion,contrast,operator_id,operator_metadata_path,array_index
melanoma_BCN_0000018489__normal_3kPa,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\melanoma_BCN_0000018489__normal_3kPa\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\melanoma_BCN_0000018489__normal_3kPa\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,melanoma_BCN_0000018489,clinical_mask,,,,,3.0,3.0,1.0,,,
melanoma_BCN_0000018489__normal_9p5kPa,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\melanoma_BCN_0000018489__normal_9p5kPa\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\melanoma_BCN_0000018489__normal_9p5kPa\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,melanoma_BCN_0000018489,clinical_mask,,,,,9.5,9.5,1.0,,,
squamous_cell_carcinoma_BCN_0000004833__cancer_observed,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\squamous_cell_carcinoma_BCN_0000004833__cancer_observed\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\squamous_cell_carcinoma_BCN_0000004833__cancer_observed\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,squamous_cell_carcinoma_BCN_0000004833,clinical_mask,,,,,3.00000023841858,85.92716858999867,28.642387253707124,,,
squamous_cell_carcinoma_BCN_0000004833__cancer_homogenized,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\squamous_cell_carcinoma_BCN_0000004833__cancer_homogenized\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\squamous_cell_carcinoma_BCN_0000004833__cancer_homogenized\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,squamous_cell_carcinoma_BCN_0000004833,clinical_mask,,,,,3.00000023841858,85.9271685899987,28.64238725370713,,,
squamous_cell_carcinoma_BCN_0000004833__normal_3kPa,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\squamous_cell_carcinoma_BCN_0000004833__normal_3kPa\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\squamous_cell_carcinoma_BCN_0000004833__normal_3kPa\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,squamous_cell_carcinoma_BCN_0000004833,clinical_mask,,,,,3.0,3.0,1.0,,,
squamous_cell_carcinoma_BCN_0000004833__normal_9p5kPa,2d,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\squamous_cell_carcinoma_BCN_0000004833__normal_9p5kPa\interp_mean_kpa.csv,H:\My Drive\MN_simulation\magnetic_sensitivity_shape_ratio\packages\lesions\squamous_cell_carcinoma_BCN_0000004833__normal_9p5kPa\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,squamous_cell_carcinoma_BCN_0000004833,clinical_mask,,,,,9.5,9.5,1.0,,,
midas_lesion_619,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_619\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_619\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_619,clinical_mask,,,,,71.81391906738281,189.2799053537137,2.6356994272393472,,,
midas_lesion_626,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_626\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_626\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_626,clinical_mask,,,,,73.73615264892578,179.82700844698175,2.4387902268671127,,,
midas_lesion_536,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_536\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_536\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_536,clinical_mask,,,,,72.50569915771484,181.6675486897313,2.5055623323425507,,,
midas_lesion_564,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_564\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_564\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_564,clinical_mask,,,,,73.52970123291016,201.6974701105162,2.7430747946551044,,,
midas_lesion_544,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_544\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_544\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_544,clinical_mask,,,,,75.05059051513672,171.67422030939304,2.2874466294141764,,,
midas_lesion_486,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_486\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_486\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_486,clinical_mask,,,,,74.83599853515625,180.7619436101396,2.415441059762458,,,
midas_lesion_442,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_442\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_442\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_442,clinical_mask,,,,,73.93870544433594,191.91753283951635,2.595630146432569,,,
midas_lesion_415,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_415\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_415\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_415,clinical_mask,,,,,74.1078872680664,178.2635418302945,2.405459774955823,,,
midas_lesion_357,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_357\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_357\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_357,clinical_mask,,,,,72.48716735839844,205.92556326025831,2.840855433653521,,,
midas_lesion_300,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_300\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_300\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_300,clinical_mask,,,,,74.26590728759766,189.10343176080275,2.546302047162667,,,
midas_lesion_289,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_289\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_289\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_289,clinical_mask,,,,,75.11048889160156,176.9051135947846,2.3552651061836607,,,
midas_lesion_277,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_277\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_277\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_277,clinical_mask,,,,,74.88233184814453,185.5353360533406,2.47769175283686,,,
midas_lesion_259,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_259\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_259\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_259,clinical_mask,,,,,74.05288696289062,172.33599931386706,2.327201630913162,,,
midas_lesion_275,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_275\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_275\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_275,clinical_mask,,,,,72.94979858398438,177.8571820714985,2.4380763966981784,,,
midas_lesion_234,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_234\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_234\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_234,clinical_mask,,,,,74.39509582519531,185.9285388325536,2.499204238803942,,,
midas_lesion_226,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_226\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_226\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_226,clinical_mask,,,,,74.80931091308594,177.84188230647598,2.377269355055203,,,
midas_lesion_218,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_218\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_218\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_218,clinical_mask,,,,,73.4294204711914,193.52424567367987,2.635513727765362,,,
midas_lesion_143,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_143\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_143\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_143,clinical_mask,,,,,72.62757110595703,173.14584885826406,2.384023673401661,,,
midas_lesion_178,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_178\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_178\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_178,clinical_mask,,,,,71.99722290039062,185.3748965596044,2.574750651369896,,,
midas_lesion_140,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_140\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_140\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_140,clinical_mask,,,,,72.0247573852539,187.13120769530303,2.598151170358758,,,
midas_lesion_138,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_138\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_138\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_138,clinical_mask,,,,,74.18177795410156,201.42452779173544,2.715283097101861,,,
midas_lesion_76,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_76\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_76\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_76,clinical_mask,,,,,74.59484100341797,168.2537401775981,2.2555680515478094,,,
midas_lesion_69,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_69\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_69\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_69,clinical_mask,,,,,73.48416900634766,177.8045065236646,2.419630090779221,,,
midas_lesion_640,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_640\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_640\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_640,clinical_mask,,,,,75.23422241210938,185.5080113571128,2.4657397313280955,,,
midas_lesion_647,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_647\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_647\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_647,clinical_mask,,,,,71.55779266357422,186.7572664364364,2.609880202907702,,,
midas_lesion_755,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_755\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_755\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_755,clinical_mask,,,,,74.81333923339844,175.67008295970984,2.3481117773885782,,,
midas_lesion_805,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_805\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\midas_lesion_805\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,midas_lesion_805,clinical_mask,,,,,75.12617492675781,187.5901389898256,2.4970010675069165,,,
ph2_lesion_IMD057,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\ph2_lesion_IMD057\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\ph2_lesion_IMD057\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,ph2_lesion_IMD057,clinical_mask,,,,,78.73936462402344,185.4424686776883,2.355143066789616,,,
ph2_lesion_IMD078,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\ph2_lesion_IMD078\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\ph2_lesion_IMD078\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,ph2_lesion_IMD078,clinical_mask,,,,,72.09097290039062,184.63848624611396,2.5611873278674184,,,
ph2_lesion_IMD031,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\ph2_lesion_IMD031\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\ph2_lesion_IMD031\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,ph2_lesion_IMD031,clinical_mask,,,,,74.89350891113281,183.17994721484123,2.4458721440358606,,,
ph2_lesion_IMD256,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\ph2_lesion_IMD256\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\ph2_lesion_IMD256\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,ph2_lesion_IMD256,clinical_mask,,,,,75.6025161743164,186.6913614100572,2.469380264799702,,,
isic2018_lesion_ISIC_0034753,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\isic2018_lesion_ISIC_0034753\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\isic2018_lesion_ISIC_0034753\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,isic2018_lesion_ISIC_0034753,clinical_mask,,,,,73.65019989013672,146.22148256523664,1.9853507904032004,,,
isic2018_lesion_ISIC_0034870,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\isic2018_lesion_ISIC_0034870\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\isic2018_lesion_ISIC_0034870\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,isic2018_lesion_ISIC_0034870,clinical_mask,,,,,73.70065307617188,140.09557992112113,1.9008729783754843,,,
isic2018_lesion_ISIC_0034748,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\isic2018_lesion_ISIC_0034748\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\isic2018_lesion_ISIC_0034748\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,isic2018_lesion_ISIC_0034748,clinical_mask,,,,,74.2966537475586,158.5962195581244,2.134634758881532,,,
isic2018_lesion_ISIC_0034585,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\isic2018_lesion_ISIC_0034585\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\isic2018_lesion_ISIC_0034585\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,isic2018_lesion_ISIC_0034585,clinical_mask,,,,,77.29214477539062,163.93575626935146,2.120988578409169,,,
isic2018_lesion_ISIC_0034733,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\isic2018_lesion_ISIC_0034733\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\isic2018_lesion_ISIC_0034733\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,isic2018_lesion_ISIC_0034733,clinical_mask,,,,,75.58960723876953,152.02994817295124,2.0112546383886465,,,
isic2018_lesion_ISIC_0034669,2d,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\isic2018_lesion_ISIC_0034669\interp_mean_kpa.csv,H:\My Drive\MN_simulation\Clincal_ontology\Image_export\lesions\isic2018_lesion_ISIC_0034669\interp_lesion_mask.csv,,H:\My Drive\Manuscript\Sparse reconstruction\Figure2_data_reconstruction_20260526\tables\lesion_case_inventory_metrics.csv,isic2018_lesion_ISIC_0034669,clinical_mask,,,,,76.04106903076172,147.31671181020812,1.937330888267924,,,
