source,category_axis,category,n_rows,n_unique_configs
fig3_synthetic_manifest,split_role_prior,train,85,17.0
fig3_synthetic_manifest,split_role_prior,val,10,2.0
fig3_synthetic_manifest,split_role_prior,,2220,0.0
3D_rigidity_mapping,depth_group,deep_1p5_3mm,60,60.0
3D_rigidity_mapping,depth_group,mid_0p75_1p5mm,58,58.0
3D_rigidity_mapping,depth_group,ood_deep_gt3mm,120,120.0
3D_rigidity_mapping,depth_group,shallow_0_0p75mm,60,40.0
3D_rigidity_mapping,depth_mm,0.3,20,20.0
3D_rigidity_mapping,depth_mm,0.6,40,20.0
3D_rigidity_mapping,depth_mm,0.9,19,19.0
3D_rigidity_mapping,depth_mm,1.0,20,20.0
3D_rigidity_mapping,depth_mm,1.2,19,19.0
3D_rigidity_mapping,depth_mm,2.0,20,20.0
3D_rigidity_mapping,depth_mm,2.4,20,20.0
3D_rigidity_mapping,depth_mm,3.0,20,20.0
3D_rigidity_mapping,depth_mm,3.6,20,20.0
3D_rigidity_mapping,depth_mm,4.0,20,20.0
3D_rigidity_mapping,depth_mm,4.5,20,20.0
3D_rigidity_mapping,depth_mm,5.0,20,20.0
3D_rigidity_mapping,depth_mm,5.5,20,20.0
3D_rigidity_mapping,depth_mm,6.0,20,20.0
3D_rigidity_mapping,E_tag,E0,149,139.0
3D_rigidity_mapping,E_tag,E1,149,139.0
3D_rigidity_mapping,strain_float,0.0,29,27.0
3D_rigidity_mapping,strain_float,0.01,30,28.0
3D_rigidity_mapping,strain_float,0.02,30,28.0
3D_rigidity_mapping,strain_float,0.04,29,27.0
3D_rigidity_mapping,strain_float,0.08,30,28.0
3D_rigidity_mapping,strain_float,0.16,30,28.0
3D_rigidity_mapping,strain_float,0.24,30,28.0
3D_rigidity_mapping,strain_float,0.3,30,28.0
3D_rigidity_mapping,strain_float,0.4,30,28.0
3D_rigidity_mapping,strain_float,0.5,30,28.0
PIEZO_PASSIVE,family_id,basal_cell_carcinoma_BCN_0000016844,50,5.0
PIEZO_PASSIVE,family_id,melanoma_BCN_0000018489,50,5.0
PIEZO_PASSIVE,family_id,squamous_cell_carcinoma_BCN_0000004833,50,5.0
PIEZO_PASSIVE,condition_type,baseline,30,3.0
PIEZO_PASSIVE,condition_type,single_factor_absolute,60,6.0
PIEZO_PASSIVE,condition_type,single_factor_hetero,60,6.0
PIEZO_PASSIVE,A_contrast,0.7,30,3.0
PIEZO_PASSIVE,A_contrast,1.0,90,9.0
PIEZO_PASSIVE,A_contrast,1.3,30,3.0
PIEZO_PASSIVE,H_heterogeneity,0.6,30,3.0
PIEZO_PASSIVE,H_heterogeneity,1.0,90,9.0
PIEZO_PASSIVE,H_heterogeneity,1.4,30,3.0
PIEZO_PASSIVE,contact_mode,bonded,75,15.0
PIEZO_PASSIVE,contact_mode,tilted,75,15.0
PIEZO_PASSIVE,u_load,0.0,30,15.0
PIEZO_PASSIVE,u_load,0.01,30,15.0
PIEZO_PASSIVE,u_load,0.02,30,15.0
PIEZO_PASSIVE,u_load,0.04,30,15.0
PIEZO_PASSIVE,u_load,0.08,30,15.0
PIEZO_PASSIVE,full_comsol_export,full_comsol_rows,150,15.0
ULTRASOUND_STRAIN,family_id,basal_cell_carcinoma_BCN_0000016844,50,5.0
ULTRASOUND_STRAIN,family_id,melanoma_BCN_0000018489,50,5.0
ULTRASOUND_STRAIN,family_id,squamous_cell_carcinoma_BCN_0000004833,50,5.0
ULTRASOUND_STRAIN,condition_type,baseline,30,3.0
ULTRASOUND_STRAIN,condition_type,single_factor_absolute,60,6.0
ULTRASOUND_STRAIN,condition_type,single_factor_hetero,60,6.0
ULTRASOUND_STRAIN,A_contrast,0.7,30,3.0
ULTRASOUND_STRAIN,A_contrast,1.0,90,9.0
ULTRASOUND_STRAIN,A_contrast,1.3,30,3.0
ULTRASOUND_STRAIN,H_heterogeneity,0.6,30,3.0
ULTRASOUND_STRAIN,H_heterogeneity,1.0,90,9.0
ULTRASOUND_STRAIN,H_heterogeneity,1.4,30,3.0
ULTRASOUND_STRAIN,contact_mode,bonded,75,15.0
ULTRASOUND_STRAIN,contact_mode,tilted,75,15.0
ULTRASOUND_STRAIN,u_load,0.0,30,15.0
ULTRASOUND_STRAIN,u_load,0.01,30,15.0
ULTRASOUND_STRAIN,u_load,0.02,30,15.0
ULTRASOUND_STRAIN,u_load,0.04,30,15.0
ULTRASOUND_STRAIN,u_load,0.08,30,15.0
ULTRASOUND_STRAIN,full_comsol_export,full_comsol_rows,150,15.0
clinical_ontology,dataset,isic2017,600,
clinical_ontology,dataset,isic2018,1512,
clinical_ontology,dataset,midas,3416,
clinical_ontology,dataset,ph2,200,
clinical_ontology,canonical_term,actinic_keratosis,234,
clinical_ontology,canonical_term,bcc,701,
clinical_ontology,canonical_term,bkl,217,
clinical_ontology,canonical_term,blue_nevus_atypical,6,
clinical_ontology,canonical_term,control_benign,503,
clinical_ontology,canonical_term,deep_penetrating_intermediate,3,
clinical_ontology,canonical_term,dermatofibroma,95,
clinical_ontology,canonical_term,fibrous_papule,18,
clinical_ontology,canonical_term,inflammatory_or_infectious,39,
clinical_ontology,canonical_term,melanocytic_high_grade_uncertain,103,
clinical_ontology,canonical_term,melanoma_in_situ,146,
clinical_ontology,canonical_term,melanoma_invasive_or_unspecified,420,
clinical_ontology,canonical_term,nevus_atypical_low_grade,161,
clinical_ontology,canonical_term,nevus_common,1879,
clinical_ontology,canonical_term,other_benign,421,
clinical_ontology,canonical_term,other_malignant,14,
clinical_ontology,canonical_term,scc_in_situ,168,
clinical_ontology,canonical_term,scc_invasive,200,
clinical_ontology,canonical_term,seborrheic_keratosis,332,
clinical_ontology,canonical_term,spitz_intermediate,3,
clinical_ontology,canonical_term,vascular_lesion,65,
clinical_ontology,clinical_superclass,benign_or_control,3845,
clinical_ontology,clinical_superclass,malignant_or_premalignant,1883,
