condition_id,config_id,split_group_id,same_prior_group,disease,A_contrast,H,z_top,z_bottom,tumor_thickness,targeted_shape,targeted_lateral_position,targeted_heterogeneity_mode,targeted_heterogeneity_scale,ood_split_family,split_role,operator_noise_group,layer_modulus_variation_x,paired_operator_set,policy,model_training_allowed,diffusion_training_allowed
F3NCS_0027_iid_support_ellipse_zb02p3_E78p6,F3NCS_0027_iid_support_ellipse_zb02.3_E78.6,iid_support|ellipse|hotspot|nominal,iid_support|ellipse|hotspot|nominal,iid_support,78.59608,0.71012,1.62477,2.33489,0.71012,ellipse,center,hotspot,0.31173,iid_support,iid_test,nominal,0.7864,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0028_iid_support_cylinder_zb06p9_E50p3,F3NCS_0028_iid_support_cylinder_zb06.9_E50.3,iid_support|cylinder|homogeneous|nominal,iid_support|cylinder|homogeneous|nominal,iid_support,50.30899,2.6785,4.23904,6.91754,2.6785,cylinder,center,homogeneous,0.0,iid_support,train,nominal,1.00898,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0029_iid_support_two_foci_zb07p2_E14p6,F3NCS_0029_iid_support_two_foci_zb07.2_E14.6,iid_support|two_foci|hotspot|nominal,iid_support|two_foci|hotspot|nominal,iid_support,14.60488,0.71984,6.52056,7.24041,0.71984,two_foci,half_pitch_x_shift,hotspot,0.44061,iid_support,train,nominal,0.94145,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0030_iid_support_cylinder_zb07p9_E15p6,F3NCS_0030_iid_support_cylinder_zb07.9_E15.6,iid_support|cylinder|rim_soft|nominal,iid_support|cylinder|rim_soft|nominal,iid_support,15.5653,2.9037,4.99328,7.89698,2.9037,cylinder,center,rim_soft,0.41329,iid_support,validation,nominal,0.67731,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0031_iid_support_ellipse_zb07p2_E15p0,F3NCS_0031_iid_support_ellipse_zb07.2_E15.0,iid_support|ellipse|core_shell|nominal,iid_support|ellipse|core_shell|nominal,iid_support,14.9742,0.99489,6.25332,7.24821,0.99489,ellipse,half_pitch_x_shift,core_shell,0.47768,iid_support,validation,nominal,1.18403,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0032_iid_support_ellipse_zb06p0_E06p8,F3NCS_0032_iid_support_ellipse_zb06.0_E06.8,iid_support|ellipse|homogeneous|nominal,iid_support|ellipse|homogeneous|nominal,iid_support,6.83989,1.24008,4.71794,5.95803,1.24008,ellipse,half_pitch_x_shift,homogeneous,0.0,iid_support,train,nominal,0.82618,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0033_iid_support_ellipse_zb02p8_E06p9,F3NCS_0033_iid_support_ellipse_zb02.8_E06.9,iid_support|ellipse|checker|nominal,iid_support|ellipse|checker|nominal,iid_support,6.94102,2.53685,0.2574,2.79425,2.53685,ellipse,center,checker,0.67839,iid_support,train,nominal,1.52433,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0034_iid_support_ellipse_zb03p1_E40p4,F3NCS_0034_iid_support_ellipse_zb03.1_E40.4,iid_support|ellipse|checker|nominal,iid_support|ellipse|checker|nominal,iid_support,40.42982,0.51534,2.55583,3.07117,0.51534,ellipse,half_pitch_x_shift,checker,0.39145,iid_support,train,nominal,1.26349,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0035_iid_support_ellipse_zb02p8_E30p8,F3NCS_0035_iid_support_ellipse_zb02.8_E30.8,iid_support|ellipse|rim_soft|nominal,iid_support|ellipse|rim_soft|nominal,iid_support,30.78275,1.16265,1.65897,2.82161,1.16265,ellipse,near_boundary,rim_soft,0.65547,iid_support,iid_test,nominal,0.80892,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0036_iid_support_cylinder_zb07p9_E11p2,F3NCS_0036_iid_support_cylinder_zb07.9_E11.2,iid_support|cylinder|hotspot|nominal,iid_support|cylinder|hotspot|nominal,iid_support,11.17407,2.02548,5.86322,7.8887,2.02548,cylinder,near_boundary,hotspot,0.26019,iid_support,train,nominal,0.80783,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0037_iid_support_ellipse_zb08p0_E07p6,F3NCS_0037_iid_support_ellipse_zb08.0_E07.6,iid_support|ellipse|homogeneous|nominal,iid_support|ellipse|homogeneous|nominal,iid_support,7.56322,1.39729,6.55769,7.95498,1.39729,ellipse,center,homogeneous,0.0,iid_support,iid_test,nominal,0.86064,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0038_iid_support_two_foci_zb07p0_E48p1,F3NCS_0038_iid_support_two_foci_zb07.0_E48.1,iid_support|two_foci|checker|nominal,iid_support|two_foci|checker|nominal,iid_support,48.06344,2.36884,4.6523,7.02114,2.36884,two_foci,center,checker,0.33419,iid_support,train,nominal,0.72975,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0039_iid_support_cylinder_zb03p5_E74p0,F3NCS_0039_iid_support_cylinder_zb03.5_E74.0,iid_support|cylinder|core_shell|nominal,iid_support|cylinder|core_shell|nominal,iid_support,74.04867,3.17689,0.29627,3.47316,3.17689,cylinder,center,core_shell,0.67836,iid_support,train,nominal,1.02208,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0040_iid_support_two_foci_zb05p0_E42p1,F3NCS_0040_iid_support_two_foci_zb05.0_E42.1,iid_support|two_foci|core_shell|nominal,iid_support|two_foci|core_shell|nominal,iid_support,42.06616,1.44772,3.5896,5.03732,1.44772,two_foci,near_boundary,core_shell,0.27649,iid_support,train,nominal,0.96595,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0041_iid_support_cylinder_zb04p9_E06p3,F3NCS_0041_iid_support_cylinder_zb04.9_E06.3,iid_support|cylinder|checker|nominal,iid_support|cylinder|checker|nominal,iid_support,6.27409,2.13148,2.81479,4.94627,2.13148,cylinder,half_pitch_x_shift,checker,0.70759,iid_support,train,nominal,1.1986,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0042_iid_support_two_foci_zb05p3_E07p9,F3NCS_0042_iid_support_two_foci_zb05.3_E07.9,iid_support|two_foci|homogeneous|nominal,iid_support|two_foci|homogeneous|nominal,iid_support,7.93983,0.53369,4.73107,5.26475,0.53369,two_foci,center,homogeneous,0.0,iid_support,train,nominal,0.665,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0043_iid_support_two_foci_zb04p5_E09p2,F3NCS_0043_iid_support_two_foci_zb04.5_E09.2,iid_support|two_foci|rim_soft|nominal,iid_support|two_foci|rim_soft|nominal,iid_support,9.16677,2.33883,2.13773,4.47655,2.33883,two_foci,half_pitch_x_shift,rim_soft,0.49058,iid_support,train,nominal,1.005,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0044_iid_support_ellipse_zb07p2_E08p4,F3NCS_0044_iid_support_ellipse_zb07.2_E08.4,iid_support|ellipse|core_shell|nominal,iid_support|ellipse|core_shell|nominal,iid_support,8.35573,0.49141,6.69353,7.18494,0.49141,ellipse,half_pitch_x_shift,core_shell,0.45375,iid_support,iid_test,nominal,0.90946,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0045_iid_support_ellipse_zb01p9_E37p5,F3NCS_0045_iid_support_ellipse_zb01.9_E37.5,iid_support|ellipse|core_shell|nominal,iid_support|ellipse|core_shell|nominal,iid_support,37.52101,0.55387,1.32974,1.88361,0.55387,ellipse,center,core_shell,0.30427,iid_support,train,nominal,1.24945,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0046_iid_support_cylinder_zb02p9_E40p4,F3NCS_0046_iid_support_cylinder_zb02.9_E40.4,iid_support|cylinder|homogeneous|nominal,iid_support|cylinder|homogeneous|nominal,iid_support,40.36876,2.20196,0.73853,2.94049,2.20196,cylinder,near_boundary,homogeneous,0.0,iid_support,validation,nominal,1.1673,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0047_iid_support_ellipse_zb05p8_E09p2,F3NCS_0047_iid_support_ellipse_zb05.8_E09.2,iid_support|ellipse|lateral_gradient|nominal,iid_support|ellipse|lateral_gradient|nominal,iid_support,9.22442,1.51625,4.32844,5.8447,1.51625,ellipse,center,lateral_gradient,0.52193,iid_support,train,nominal,0.92196,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0048_iid_support_cylinder_zb05p4_E20p8,F3NCS_0048_iid_support_cylinder_zb05.4_E20.8,iid_support|cylinder|homogeneous|nominal,iid_support|cylinder|homogeneous|nominal,iid_support,20.78003,1.60582,3.80788,5.4137,1.60582,cylinder,center,homogeneous,0.0,iid_support,train,nominal,0.83397,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0049_iid_support_two_foci_zb02p4_E19p3,F3NCS_0049_iid_support_two_foci_zb02.4_E19.3,iid_support|two_foci|lateral_gradient|nominal,iid_support|two_foci|lateral_gradient|nominal,iid_support,19.3059,2.04814,0.38466,2.4328,2.04814,two_foci,center,lateral_gradient,0.59232,iid_support,validation,nominal,0.61955,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0050_iid_support_cylinder_zb03p4_E11p1,F3NCS_0050_iid_support_cylinder_zb03.4_E11.1,iid_support|cylinder|checker|nominal,iid_support|cylinder|checker|nominal,iid_support,11.05362,1.26555,2.14978,3.41532,1.26555,cylinder,center,checker,0.19317,iid_support,train,nominal,0.70443,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0051_iid_support_ellipse_zb05p8_E11p0,F3NCS_0051_iid_support_ellipse_zb05.8_E11.0,iid_support|ellipse|checker|nominal,iid_support|ellipse|checker|nominal,iid_support,10.9785,0.58763,5.22925,5.81688,0.58763,ellipse,center,checker,0.25304,iid_support,validation,nominal,1.09812,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0052_iid_support_two_foci_zb03p9_E12p7,F3NCS_0052_iid_support_two_foci_zb03.9_E12.7,iid_support|two_foci|core_shell|nominal,iid_support|two_foci|core_shell|nominal,iid_support,12.66267,0.92874,2.95877,3.88751,0.92874,two_foci,near_boundary,core_shell,0.72101,iid_support,train,nominal,0.76355,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0053_iid_support_two_foci_zb03p0_E11p5,F3NCS_0053_iid_support_two_foci_zb03.0_E11.5,iid_support|two_foci|lateral_gradient|nominal,iid_support|two_foci|lateral_gradient|nominal,iid_support,11.49307,1.31665,1.71032,3.02697,1.31665,two_foci,center,lateral_gradient,0.47394,iid_support,validation,nominal,0.80761,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0054_iid_support_ellipse_zb05p3_E16p6,F3NCS_0054_iid_support_ellipse_zb05.3_E16.6,iid_support|ellipse|rim_soft|nominal,iid_support|ellipse|rim_soft|nominal,iid_support,16.61778,1.2691,3.98763,5.25673,1.2691,ellipse,half_pitch_x_shift,rim_soft,0.71258,iid_support,train,nominal,0.85638,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0055_iid_support_cylinder_zb07p0_E06p0,F3NCS_0055_iid_support_cylinder_zb07.0_E06.0,iid_support|cylinder|homogeneous|nominal,iid_support|cylinder|homogeneous|nominal,iid_support,6.02359,1.74425,5.26024,7.00448,1.74425,cylinder,near_boundary,homogeneous,0.0,iid_support,train,nominal,1.04682,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0056_iid_support_cylinder_zb05p4_E06p0,F3NCS_0056_iid_support_cylinder_zb05.4_E06.0,iid_support|cylinder|homogeneous|nominal,iid_support|cylinder|homogeneous|nominal,iid_support,6.04924,2.08952,3.35119,5.44072,2.08952,cylinder,near_boundary,homogeneous,0.0,iid_support,train,nominal,0.96414,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0057_iid_support_ellipse_zb02p3_E23p6,F3NCS_0057_iid_support_ellipse_zb02.3_E23.6,iid_support|ellipse|core_shell|nominal,iid_support|ellipse|core_shell|nominal,iid_support,23.59279,2.09693,0.21704,2.31397,2.09693,ellipse,near_boundary,core_shell,0.27803,iid_support,train,nominal,0.94039,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0058_iid_support_two_foci_zb02p5_E18p0,F3NCS_0058_iid_support_two_foci_zb02.5_E18.0,iid_support|two_foci|checker|nominal,iid_support|two_foci|checker|nominal,iid_support,17.9769,2.00612,0.49413,2.50025,2.00612,two_foci,center,checker,0.50016,iid_support,train,nominal,0.77506,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0059_iid_support_ellipse_zb07p7_E49p7,F3NCS_0059_iid_support_ellipse_zb07.7_E49.7,iid_support|ellipse|rim_soft|nominal,iid_support|ellipse|rim_soft|nominal,iid_support,49.66195,2.19708,5.48378,7.68086,2.19708,ellipse,near_boundary,rim_soft,0.27413,iid_support,validation,nominal,0.69119,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0060_iid_support_ellipse_zb05p1_E15p9,F3NCS_0060_iid_support_ellipse_zb05.1_E15.9,iid_support|ellipse|lateral_gradient|nominal,iid_support|ellipse|lateral_gradient|nominal,iid_support,15.89198,1.06393,4.0169,5.08083,1.06393,ellipse,center,lateral_gradient,0.73074,iid_support,validation,nominal,1.51428,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0061_iid_support_cylinder_zb06p8_E36p4,F3NCS_0061_iid_support_cylinder_zb06.8_E36.4,iid_support|cylinder|core_shell|nominal,iid_support|cylinder|core_shell|nominal,iid_support,36.42076,2.90466,3.94309,6.84775,2.90466,cylinder,half_pitch_x_shift,core_shell,0.4555,iid_support,train,nominal,1.44351,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0062_iid_support_two_foci_zb02p5_E26p0,F3NCS_0062_iid_support_two_foci_zb02.5_E26.0,iid_support|two_foci|homogeneous|nominal,iid_support|two_foci|homogeneous|nominal,iid_support,25.97913,0.63219,1.8574,2.48959,0.63219,two_foci,center,homogeneous,0.0,iid_support,train,nominal,1.22676,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0063_iid_support_ellipse_zb02p6_E15p8,F3NCS_0063_iid_support_ellipse_zb02.6_E15.8,iid_support|ellipse|homogeneous|nominal,iid_support|ellipse|homogeneous|nominal,iid_support,15.78465,1.16274,1.45266,2.6154,1.16274,ellipse,center,homogeneous,0.0,iid_support,train,nominal,0.82722,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0064_iid_support_two_foci_zb03p1_E32p0,F3NCS_0064_iid_support_two_foci_zb03.1_E32.0,iid_support|two_foci|core_shell|nominal,iid_support|two_foci|core_shell|nominal,iid_support,32.02447,2.24419,0.89125,3.13544,2.24419,two_foci,half_pitch_x_shift,core_shell,0.58394,iid_support,train,nominal,1.30497,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0065_iid_support_two_foci_zb05p7_E34p2,F3NCS_0065_iid_support_two_foci_zb05.7_E34.2,iid_support|two_foci|checker|nominal,iid_support|two_foci|checker|nominal,iid_support,34.21728,1.22238,4.52732,5.7497,1.22238,two_foci,center,checker,0.5397,iid_support,train,nominal,1.09559,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
F3NCS_0066_iid_support_two_foci_zb05p5_E92p5,F3NCS_0066_iid_support_two_foci_zb05.5_E92.5,iid_support|two_foci|homogeneous|nominal,iid_support|two_foci|homogeneous|nominal,iid_support,92.50893,1.95929,3.54162,5.50091,1.95929,two_foci,half_pitch_x_shift,homogeneous,0.0,iid_support,validation,nominal,1.30557,MMP;PIEZO;US,method2b_512_full_comsol_bxyz_delta,True,True
