figure,task,method,train_N,seed,split_rule,primary_metrics
Figure 2,2D Eapp reconstruction,Baseline U-Net,1000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,2000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,2000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,2000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,5000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,5000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,5000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,10000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,10000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Baseline U-Net,10000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,50,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,50,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,50,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,100,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,100,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,100,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,200,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,200,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,200,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,500,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,500,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,500,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,1000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,1000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,1000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,2000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,2000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,2000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,5000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,5000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,5000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,10000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,10000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Vanilla diffusion,10000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,50,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,50,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,50,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,100,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,100,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,100,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,200,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,200,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,200,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,500,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,500,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,500,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,1000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,1000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,1000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,2000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,2000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,2000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,5000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,5000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,5000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,10000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,10000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 2,2D Eapp reconstruction,Op-cond. diffusion + mask,10000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,100,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,100,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,100,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,250,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,250,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,250,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,500,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,500,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,500,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,1000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,1000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,1000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,1600,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,1600,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,1600,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,3000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,3000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,3000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,5000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,5000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,direct_scalar_regression,5000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,100,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,100,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,100,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,250,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,250,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,250,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,500,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,500,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,500,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,1000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,1000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,1000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,1600,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,1600,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,1600,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,3000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,3000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,3000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,5000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,5000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,unet_3d,5000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,100,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,100,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,100,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,250,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,250,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,250,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,500,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,500,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,500,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,1000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,1000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,1000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,1600,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,1600,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,1600,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,3000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,3000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,3000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,5000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,5000,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,kernel_gp,5000,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,100,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,100,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,100,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,250,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,250,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,250,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,500,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,500,20260605,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,500,20260606,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
Figure 3,3D z_bottom posterior,vanilla_3d_diffusion,1000,20260604,group by latent config_id; OOD-deep held out for OOD gate,"MAE, CRPS/WIS90, Cov90/Width90, AUROC_fail, retained-risk"
